"Date","Price","Open","High","Low","Change %"
"Feb 21, 2019","15.816","16.059","16.115","15.780","-1.49%"
"Feb 20, 2019","16.055","15.995","16.242","15.953","0.41%"
"Feb 19, 2019","15.990","15.814","16.034","15.719","1.14%"
"Feb 18, 2019","15.810","15.783","15.884","15.748","0.21%"
"Feb 15, 2019","15.778","15.625","15.832","15.538","0.97%"
"Feb 14, 2019","15.626","15.566","15.714","15.479","0.38%"
"Feb 13, 2019","15.567","15.707","15.837","15.519","-0.89%"
"Feb 12, 2019","15.708","15.706","15.851","15.651","0.00%"
"Feb 11, 2019","15.707","15.815","15.854","15.656","-0.76%"
"Feb 08, 2019","15.827","15.739","15.892","15.642","0.58%"
"Feb 07, 2019","15.735","15.667","15.783","15.625","0.38%"
"Feb 06, 2019","15.675","15.848","15.887","15.625","-1.14%"
"Feb 05, 2019","15.855","15.866","15.953","15.795","-0.06%"
"Feb 04, 2019","15.865","15.927","15.944","15.674","-0.30%"
"Feb 01, 2019","15.913","16.066","16.095","15.875","-0.96%"
"Jan 31, 2019","16.066","16.065","16.212","15.981","0.01%"
"Jan 30, 2019","16.065","15.844","16.126","15.813","1.39%"
"Jan 29, 2019","15.844","15.747","15.932","15.703","0.61%"
"Jan 28, 2019","15.748","15.740","15.838","15.586","0.00%"
"Jan 25, 2019","15.747","15.318","15.765","15.274","2.80%"
"Jan 24, 2019","15.318","15.355","15.422","15.229","-0.24%"
"Jan 23, 2019","15.354","15.335","15.457","15.246","0.13%"
"Jan 22, 2019","15.335","15.274","15.380","15.163","0.42%"
"Jan 21, 2019","15.270","15.339","15.387","15.174","-0.49%"
"Jan 18, 2019","15.345","15.520","15.599","15.310","-1.14%"
"Jan 17, 2019","15.523","15.592","15.643","15.436","-0.45%"
"Jan 16, 2019","15.592","15.578","15.674","15.481","0.08%"
"Jan 15, 2019","15.580","15.653","15.724","15.524","-0.47%"
"Jan 14, 2019","15.653","15.599","15.681","15.521","0.33%"
"Jan 11, 2019","15.601","15.563","15.764","15.535","0.24%"
"Jan 10, 2019","15.564","15.745","15.812","15.528","-1.15%"
"Jan 09, 2019","15.745","15.654","15.802","15.564","0.58%"
"Jan 08, 2019","15.655","15.647","15.712","15.484","0.05%"
"Jan 07, 2019","15.646","15.731","15.842","15.602","-0.30%"
"Jan 04, 2019","15.694","15.736","15.896","15.571","-0.27%"
"Jan 03, 2019","15.736","15.519","15.775","15.466","1.41%"
"Jan 02, 2019","15.517","15.485","15.636","15.325","0.16%"
"Jan 01, 2019","15.491","15.495","15.524","15.469","-0.02%"
