Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,14855.400391,14909.599609,14744.299805,14830.700195,14830.700195,302690800
2020-05-07,14963.200195,15016.000000,14815.799805,14833.700195,14833.700195,314631200
2020-05-08,14958.200195,14985.599609,14898.500000,14966.599609,14966.599609,312192200
2020-05-11,14901.900391,15118.799805,14852.799805,15103.200195,15103.200195,249605200
2020-05-12,15161.500000,15184.900391,14881.200195,14881.200195,14881.200195,306665300
2020-05-13,14898.099609,14898.099609,14419.900391,14503.200195,14503.200195,311644000
2020-05-14,14346.200195,14553.099609,14187.500000,14509.700195,14509.700195,307622100
2020-05-15,14504.299805,14657.599609,14447.900391,14638.900391,14638.900391,286946500
2020-05-19,14911.400391,14951.200195,14823.000000,14885.500000,14885.500000,378893100
2020-05-20,15048.200195,15054.799805,14972.200195,14997.599609,14997.599609,300482200
2020-05-21,14993.500000,14999.500000,14783.900391,14884.900391,14884.900391,288950700
2020-05-22,14929.299805,14933.200195,14834.799805,14913.599609,14913.599609,252740100
2020-05-25,15004.200195,15089.599609,14983.000000,15075.400391,15075.400391,127867600
2020-05-26,15162.099609,15185.099609,15095.000000,15148.099609,15148.099609,299837800
2020-05-27,15176.500000,15272.000000,14940.299805,15272.000000,15272.000000,349327900
2020-05-28,15325.700195,15342.400391,15226.900391,15262.700195,15262.700195,333986700
2020-05-29,15241.799805,15244.400391,15092.900391,15192.799805,15192.799805,793563100
2020-06-01,15177.599609,15271.099609,15163.099609,15236.200195,15236.200195,246513500
2020-06-02,15301.200195,15398.700195,15279.400391,15394.400391,15394.400391,281513600
2020-06-03,15517.099609,15628.900391,15504.200195,15575.099609,15575.099609,372203400
2020-06-04,15577.299805,15637.400391,15502.400391,15527.900391,15527.900391,300079200
2020-06-05,15780.900391,15883.000000,15774.000000,15854.099609,15854.099609,378218200
2020-06-08,15963.500000,15980.099609,15847.900391,15974.900391,15974.900391,443015800
2020-06-09,15881.000000,15907.900391,15772.200195,15833.700195,15833.700195,360731300
2020-06-10,15863.599609,15863.599609,15610.700195,15701.299805,15701.299805,361958600
2020-06-11,15374.500000,15401.299805,15015.500000,15050.900391,15050.900391,374440700
2020-06-12,15394.900391,15424.099609,15117.299805,15256.599609,15256.599609,340418600
2020-06-15,15044.500000,15442.900391,14934.700195,15359.700195,15359.700195,294431200
2020-06-16,15694.299805,15701.799805,15450.700195,15515.799805,15515.799805,288913500
2020-06-17,15571.500000,15571.500000,15413.799805,15428.700195,15428.700195,232158200
2020-06-18,15367.299805,15523.500000,15341.500000,15479.799805,15479.799805,223123700
2020-06-19,15638.099609,15638.099609,15436.900391,15474.200195,15474.200195,944037400
2020-06-22,15484.299805,15537.700195,15427.299805,15516.900391,15516.900391,240802500
2020-06-23,15673.799805,15679.400391,15527.200195,15564.799805,15564.799805,219102200
2020-06-24,15489.299805,15489.299805,15144.400391,15294.400391,15294.400391,237452500
2020-06-25,15222.599609,15451.000000,15178.400391,15446.099609,15446.099609,195778400
2020-06-26,15400.799805,15405.900391,15167.599609,15189.000000,15189.000000,256563900
2020-06-29,15250.500000,15425.000000,15182.799805,15389.700195,15389.700195,216259300
2020-06-30,15342.599609,15564.900391,15319.400391,15515.200195,15515.200195,255554700
2020-07-02,15694.099609,15828.599609,15613.099609,15622.400391,15622.400391,212038300
2020-07-03,15613.200195,15625.099609,15561.599609,15596.799805,15596.799805,61228900
2020-07-06,15765.599609,15797.000000,15643.400391,15669.700195,15669.700195,238091400
2020-07-07,15605.299805,15717.700195,15582.400391,15595.500000,15595.500000,183708700
2020-07-08,15637.000000,15706.900391,15533.099609,15629.200195,15629.200195,207847400
2020-07-09,15637.700195,15649.099609,15391.700195,15568.599609,15568.599609,203776400
2020-07-10,15582.599609,15717.599609,15546.299805,15713.799805,15713.799805,202764300
2020-07-13,15782.599609,15879.700195,15621.000000,15639.400391,15639.400391,229578300
2020-07-14,15625.000000,15923.500000,15573.500000,15908.500000,15908.500000,231744500
2020-07-15,15996.200195,16130.599609,15979.200195,16063.299805,16063.299805,238757000
2020-07-16,15965.099609,16069.099609,15957.799805,16024.500000,16024.500000,174875100
2020-07-17,16089.299805,16142.700195,16012.900391,16123.500000,16123.500000,163793600
2020-07-20,16113.400391,16201.700195,16112.299805,16183.700195,16183.700195,200331300
2020-07-21,16297.599609,16317.400391,16153.200195,16163.000000,16163.000000,222826400
2020-07-22,16173.200195,16196.400391,16107.700195,16171.099609,16171.099609,185905000
2020-07-23,16178.500000,16186.900391,15969.799805,16018.700195,16018.700195,196712200
2020-07-24,15980.599609,16006.299805,15928.400391,15997.099609,15997.099609,166469100
2020-07-27,16076.299805,16165.799805,16012.700195,16161.299805,16161.299805,183667000
2020-07-28,16140.000000,16189.500000,16085.299805,16121.299805,16121.299805,191264800
2020-07-29,16271.400391,16317.900391,16173.000000,16294.700195,16294.700195,188311500
2020-07-30,16123.099609,16299.299805,16020.599609,16299.299805,16299.299805,185968400
2020-07-31,16288.799805,16288.799805,16060.599609,16169.200195,16169.200195,215140900
2020-08-04,16172.599609,16370.799805,16172.599609,16368.000000,16368.000000,241457700
2020-08-05,16454.099609,16507.300781,16440.300781,16501.599609,16501.599609,233397700
2020-08-06,16543.500000,16593.400391,16496.800781,16579.099609,16579.099609,224432100
2020-08-07,16544.300781,16567.300781,16492.099609,16544.500000,16544.500000,184328200
2020-08-10,16603.900391,16647.300781,16535.000000,16605.500000,16605.500000,224219200
2020-08-11,16579.199219,16640.400391,16486.000000,16497.000000,16497.000000,252377700
2020-08-12,16645.599609,16681.400391,16565.000000,16575.300781,16575.300781,221356900
2020-08-13,16554.000000,16587.699219,16471.599609,16530.099609,16530.099609,175048500
2020-08-14,16467.099609,16543.000000,16454.000000,16514.599609,16514.599609,163417100
2020-08-17,16627.099609,16663.000000,16600.199219,16656.099609,16656.099609,189274000
2020-08-18,16701.699219,16706.599609,16579.000000,16626.099609,16626.099609,165959100
2020-08-19,16609.500000,16654.000000,16565.199219,16577.400391,16577.400391,213007900
2020-08-20,16514.900391,16621.900391,16490.599609,16606.800781,16606.800781,182658000
2020-08-21,16546.300781,16546.300781,16474.699219,16517.900391,16517.900391,170632100
2020-08-24,16631.699219,16639.000000,16573.199219,16626.599609,16626.599609,185390100
2020-08-25,16654.900391,16654.900391,16523.900391,16617.500000,16617.500000,158151600
2020-08-26,16642.599609,16792.699219,16611.400391,16790.000000,16790.000000,172126300
2020-08-27,16823.400391,16835.099609,16650.500000,16731.500000,16731.500000,188262000
2020-08-28,16780.900391,16781.900391,16681.400391,16705.800781,16705.800781,208789600
2020-08-31,16685.500000,16685.500000,16498.099609,16514.400391,16514.400391,240911400
2020-09-01,16533.199219,16645.000000,16462.699219,16645.000000,16645.000000,199990300
2020-09-02,16711.300781,16725.699219,16650.000000,16698.000000,16698.000000,212021600
2020-09-03,16676.000000,16720.800781,16386.300781,16448.900391,16448.900391,204806400
2020-09-04,16471.900391,16507.199219,16086.200195,16218.000000,16218.000000,260641900
2020-09-08,16064.500000,16222.200195,15956.000000,16099.500000,16099.500000,282440900
2020-09-09,16250.400391,16432.699219,16250.400391,16383.599609,16383.599609,227750500
2020-09-10,16431.599609,16431.599609,16153.200195,16185.299805,16185.299805,215670200
2020-09-11,16252.099609,16316.799805,16143.200195,16222.500000,16222.500000,186518000
